,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
13,Impetigo,"soak affected area in warm water, use prescribed antibiotics properly, remove scabs with wet compresses, consult pediatrician/dermatologist, keep nails trimmed short, avoid scratching completely, wash hands frequently, isolate personal towels/linens, launder bedding in hot water, stay home until non-contagious, cover lesions when possible, use antibacterial soap for bathing, disinfect toys/surfaces regularly, watch for fever/spreading rash"
14,Hypertension ,"practice daily meditation/relaxation, take therapeutic salt baths, reduce stress through counseling, get 7-8 hours quality sleep, limit sodium to 1500mg daily, exercise aerobically most days, monitor BP at home regularly, take medications consistently, limit alcohol to 1 drink daily, quit all tobacco products, eat potassium-rich foods, maintain healthy weight, reduce caffeine intake, attend all cardiology appointments"
15,Peptic ulcer diseae,"avoid all fatty/spicy trigger foods, consume probiotic-rich foods daily, eliminate milk products temporarily, limit alcohol completely, eat smaller more frequent meals, avoid NSAIDs unless essential, manage stress effectively, quit all tobacco products, take prescribed antibiotics fully, chew food thoroughly, avoid eating before bedtime, wear loose clothing, report black stools immediately, follow up for confirmation of healing"
16,Dimorphic hemmorhoids(piles),"avoid fatty/spicy irritating foods, consume witch hazel products, take warm Epsom salt baths, drink aloe vera juice daily, increase dietary fiber gradually, stay well hydrated, avoid straining during bowel movements, use stool softeners if needed, exercise regularly, don't sit on toilet too long, apply cold compresses for swelling, use medicated wipes after BM, keep anal area clean/dry, elevate feet during bowel movements"
17,Common Cold,"drink vitamin C rich fluids, use steam inhalation therapy, avoid cold/dairy products, monitor fever closely, rest adequately, use saline nasal rinses, gargle with warm salt water, wash hands frequently, disinfect surfaces regularly, use humidifier at night, take OTC meds as directed, stay home when contagious, try zinc lozenges early, avoid touching face, change toothbrush after illness"
18,Chicken pox,"add neem leaves to bathwater, consume neem extract, ensure vaccination complete, avoid all public places, trim nails very short, wear mittens at night, use calamine lotion generously, isolate until scabs form, use oatmeal baths for itching, stay cool to reduce itching, wash bedding daily, disinfect surfaces regularly, watch for secondary infections, report breathing difficulties immediately"
19,Cervical spondylosis,"use heating pad/cold pack properly, do neck exercises daily, take OTC pain relievers carefully, consult spine specialist regularly, maintain proper posture always, use ergonomic work setup, sleep with cervical pillow, avoid prolonged phone use, try gentle neck traction, apply topical pain creams, attend physical therapy, manage stress effectively, avoid heavy lifting, do regular low-impact cardio"
20,Hyperthyroidism,"eat balanced high-calorie diet, get therapeutic massages, use lemon balm supplements, complete radioactive iodine treatment, avoid all caffeine products, monitor heart rate regularly, protect eyes from dryness, take prescribed antithyroid meds, use artificial tears if needed, wear sunglasses outdoors, attend all endocrinologist visits, report rapid weight loss, manage stress effectively, watch for thyroid storm symptoms"
21,Urinary tract infection,"drink 8+ glasses water daily, increase vitamin C intake, consume cranberry products, take probiotic supplements, urinate after intercourse, avoid holding urine, wear cotton underwear, wipe front to back, avoid irritating feminine products, take showers not baths, empty bladder completely, consider D-mannose supplements, avoid spermicidal products, report recurrent infections"
22,Varicose veins,"lie flat and elevate legs, use prescribed ointments properly, wear compression stockings daily, avoid prolonged standing/sitting, exercise legs regularly, maintain healthy weight, avoid high heels, elevate legs when resting, don't cross legs when sitting, walk every 30 minutes, monitor for skin changes, avoid tight clothing, massage gently upwards, report any ulcers immediately"
23,AIDS,"avoid all open cuts carefully, wear proper PPE when needed, consult infectious disease specialist, follow ART regimen perfectly, practice safe sex always, get regular lab monitoring, avoid raw/undercooked foods, stay current on vaccinations, manage stress effectively, join support groups, prevent opportunistic infections, disclose status to partners, keep emergency contacts, maintain healthy lifestyle"
24,Paralysis (brain hemorrhage),"get professional massage therapy, eat nutrient-dense diet, do prescribed exercises daily, consult rehabilitation specialist, prevent pressure ulcers carefully, manage blood pressure strictly, use mobility aids properly, attend all therapy sessions, prevent contractures with stretching, modify home for accessibility, seek emotional support, monitor for complications, take medications exactly as directed, establish daily routine"
25,Typhoid,"eat high-calorie vegetarian diet, complete antibiotic course fully, consult infectious disease doctor, take medications as scheduled, drink only boiled/purified water, practice meticulous hand hygiene, get vaccinated if traveling, avoid all street food, disinfect surfaces regularly, monitor for complications, rest adequately, report any relapse symptoms, isolate during contagious phase, gradually resume normal diet"
26,Hepatitis B,"consult hepatologist immediately, complete vaccination series, eat liver-friendly diet, take antiviral medications properly, practice safe sex always, avoid sharing personal items, monitor liver enzymes regularly, limit alcohol completely, inform close contacts for testing, use separate grooming tools, prevent co-infections, attend all follow-ups, report yellowing skin immediately, consider support groups"
27,Fungal infection,"bath twice daily thoroughly, use antiseptic in bathwater, keep affected areas completely dry, wear clean clothes daily, use antifungal powders, wear breathable fabrics, avoid sharing personal items, treat all infected family members, wash clothes in hot water, disinfect shoes regularly, change socks frequently, apply medications as directed, boost immune system, maintain proper hygiene always"
28,Hepatitis C,"consult hepatologist promptly, complete vaccination if needed, eat antioxidant-rich diet, take antiviral therapy fully, avoid all alcohol consumption, practice safe injection habits, don't share personal care items, monitor liver function tests, attend all medical appointments, prevent co-infections, manage treatment side effects, report any mental health changes, consider joining clinical trials, maintain hopeful outlook"
29,Migraine,"practice daily meditation, reduce stress through therapy, use polarized sunglasses outdoors, consult neurologist regularly, identify and avoid triggers, stay well hydrated, maintain sleep schedule, limit caffeine/alcohol, try magnesium supplements, use cold compresses during attacks, keep migraine diary, take abortive meds early, create dark quiet space, consider preventive medications"
30,Bronchial Asthma,"wear loose comfortable clothing, practice controlled breathing, avoid known triggers completely, seek emergency help if severe, use inhaler with spacer, monitor peak flow daily, get flu/pneumonia vaccines, keep action plan accessible, identify early warning signs, avoid smoke/pollution, manage allergies effectively, attend all check-ups, consider immunotherapy, clean home regularly"
31,Alcoholic hepatitis,"stop all alcohol immediately, consult hepatologist urgently, take prescribed medications fully, attend all follow-up visits, eat high-protein diet, take vitamin supplements, avoid acetaminophen completely, monitor for complications, join support groups, involve family in recovery, consider liver transplant evaluation, manage withdrawal symptoms, address mental health needs, prevent relapse carefully"
32,Jaundice,"drink 10+ glasses water daily, consume milk thistle supplements, eat fruits/vegetables/fiber, take prescribed medications, avoid all alcohol/fatty foods, monitor urine/stool color, rest adequately, seek treatment for underlying cause, protect skin from itching, use sunscreen carefully, attend all liver tests, report any confusion immediately, maintain food hygiene"
33,Hepatitis E,"stop all alcohol consumption, rest completely during illness, consult gastroenterologist, take supportive medications, drink boiled water only, practice strict hand hygiene, avoid preparing food for others, pregnant women seek urgent care, monitor for complications, eat bland easy diet, stay hydrated, attend follow-up tests, prevent fecal-oral transmission"
34,Dengue,"drink fresh papaya leaf juice, avoid fatty/spicy foods, eliminate mosquito breeding, stay well hydrated, monitor platelet count daily, watch for warning signs, use mosquito nets, wear protective clothing, apply repellents properly, avoid NSAIDs completely, rest adequately, report any bleeding immediately, seek hospital care if severe"
35,Hepatitis D,"consult hepatologist regularly, take prescribed medications, eat liver-supportive diet, complete all follow-up tests, prevent HBV coinfection carefully, avoid all alcohol, practice safe injection habits, monitor for cirrhosis signs, get HBV vaccination if susceptible, manage symptoms effectively, attend support groups, report any deterioration quickly, maintain treatment adherence"
36,Heart attack,"call emergency services immediately, chew 325mg aspirin, stay calm and rest, perform CPR if trained, loosen tight clothing, sit in supported position, don't drive yourself, take nitroglycerin if prescribed, monitor for cardiac arrest, keep medical info accessible, avoid exertion completely, inform family members, prepare for hospital intervention"
37,Pneumonia,"consult pulmonologist promptly, take antibiotics fully, rest completely initially, attend follow-up appointments, stay well hydrated, use humidifier properly, get pneumococcal vaccine, practice deep breathing, avoid smoke/irritants, monitor oxygen levels, watch for deterioration, take prescribed cough meds, maintain nutrition, prevent spread to others"
38,Arthritis,"exercise joints regularly, alternate hot/cold therapy, try acupuncture treatment, get therapeutic massage, maintain healthy weight, eat anti-inflammatory diet, use assistive devices properly, take medications consistently, protect joints from strain, attend physical therapy, consider water exercises, manage stress effectively, get adequate sleep, modify activities carefully"
39,Gastroenteritis,"stop solid food temporarily, sip oral rehydration solutions, rest completely initially, resume eating gradually (BRAT diet), avoid dairy initially, wash hands frequently, disinfect surfaces, stay hydrated carefully, monitor for dehydration signs, avoid anti-diarrheal meds initially, take probiotics after recovery, report bloody stools immediately, prevent food contamination"
40,Tuberculosis,"cover mouth when coughing, consult TB specialist immediately, take medications exactly as prescribed, rest adequately initially, complete full treatment course, isolate until non-contagious, ventilate living spaces well, wear masks when needed, get household contacts tested, monitor for liver side effects, maintain good nutrition, avoid alcohol/smoking, report any vision changes, attend all follow-ups"
